dish,net,Estimated GI
Shredded pork in Beijing sauce," 144 g
",25.0
Minced pork with zucchini," 126 g
",0.0
Winter melon with scallion oil," 124 g
",10.0
Steamed perch pieces," 124 g
",50.0
Chinese cabbage," 108 g
",10.0
Coarse grain, 228 g,50.0
Sliced boiled duck," 116 g
",0.0
Minced pork with sweet potato leaves," 116 g
",40.0
Green pepper with green bean sprouts," 104 g
",30.0
Steamed corn meatball," 71 g
",50.0
Minced pork with cauliflower and fungus," 128 g
",7.5
Diced duck fried with water bamboo," 149 g
",0.0
Shredded pork and shredded lettuce," 167 g
",0.0
Minced pork with cabbage and tomato," 109 g
",5.0
Steamed chicken nuggets with mushrooms," 98 g
",15.0
Minced pork with white gourd and carrot," 105 g
",17.5
Steamed perch pieces," 101 g
",50.0
Shredded pork with water bamboo and carrot," 117 g
",17.5
Sliced boiled duck," 99 g
",0.0
Minced pork with sweet potato leaves," 103 g
",40.0
Green pepper fried with green bean sprouts," 107 g
",30.0
Chicken nuggets with green pepper," 160 g
",7.5
Minced pork with cauliflower and fungus," 134 g
",7.5
"Diced duck with water bamboo, green bean and carrot"," 138 g
",32.5
Shredded pork and lettuce," 143 g
",0.0
Boiled vegetable,  111 g,20.0
Minced pork with tomato and cabbage," 122 g
",5.0
Braised pork chops with radish," 156 g
",0.0
Minced pork with eggplant," 111 g
",0.0
Steamed meat balls stuffed with yam," 120 g
",50.0
Shredded pork with green pepper and carrot," 117 g
",17.5
Shredded pork with cucumber," 115 g
",0.0
Braised pork chops with radish," 194 g
",0.0
Cabbage," 123 g
",10.0
Steamed minced pork with eggplant," 101 g
",0.0
Coarse grain, 145 g,50.0
Scallion grilled chops," 131 g
",10.0
Hangzhou cabbage," 102 g
",10.0
Braised shredded pork and cabbage," 116 g
",5.0
Shepherd's purse meatball," 104 g
",50.0
Leaf lettuce," 113 g
",10.0
Shredded chicken with green pepper and yam," 103 g
",7.5
Shredded pork in Beijing sauce," 80 g
",25.0
Winter melon with scallion oil," 50 g
",10.0
Shredded pork with zucchini," 50 g
",0.0
Coarse grain, 30 g,50.0
Boiled vegetable, 140 g,20.0
Shredded pork with water bamboo and carrot," 121 g
",17.5
Sliced pork with snow pea and carrot," 128 g
",17.5
Shredded pork with sweet potato leaves," 136 g
",40.0
Coarse grain, 149 g,50.0
Steamed corn meatball," 100 g
",50.0
Shredded pork with cauliflower and fungus," 125 g
",7.5
Shredded beef with green pepper," 175 g
",7.5
Cabbage," 105 g
",10.0
Shredded pork and lettuce," 133 g
",0.0
Coarse grain," 133 g
",50.0
Minced pork with yam and corn,"  107 g
",0.0
Fried fish slices with tomatoes, 133 g,0.0
Braised duck with radish," 132 g
",0.0
Shredded pork with lettuce and carrot," 115 g
",17.5
Braised shredded pork and cabbage," 123 g
",5.0
Chicken with lotus root and celery, 155 g,0.0
Diced duck with lettuce and carrot," 120 g
",35.0
Shredded pork with green pepper and water bamboo," 111 g
",0.0
Roast pork rib with scallion," 108 g
",0.0
Chinese cabbage," 113 g
",10.0
Minced pork and white gourd," 106 g
",0.0
Steamed chicken with scallion," 109 g
",5.0
Steamed pork roll stuffed with cabbage," 92 g
",5.0
Shredded pork with bitter gourd and carrot,"  111 g
",17.5
Sliced duck with yam and tomato," 152 g
",0.0
Minced pork with celery and carrot," 107 g
",17.5
Stir fried fish fillet with cucumber and fungus," 149 g
",0.0
Minced pork fried with pumpkin and scallion," 111 g
",0.0
Braised chicken with corn," 103 g
",0.0
Shredded pork with cucumber," 107 g
",0.0
Braised radish," 108 g
",50.0
Stewed pork chops with carrot," 152 g
",17.5
Steamed minced pork  with eggplant," 113 g
",0.0
Sliced pork with carrot and cowpea," 111 g
",17.5
Braised shredded pork and cabbage," 115 g
",5.0
Green pepper with green bean sprouts," 107 g
",30.0
Egg," 80 g
",0.0
Boiled vegetable, 135 g,20.0
Braised herring cubes," 114 g
",50.0
Shredded pork with  water bamboo and carrot," 126 g
",17.5
Leaf lettuce," 119 g
",10.0
Fried dough twist," 40 g
",50.0
Milk, 800 mL,50.0
Steamed pork chops with carrot," 170 g
",17.5
Water spinach," 110 g
",50.0
Steamed minced pork with eggplant,"  142 g
",0.0
Scallion grilled chops," 125 g
",10.0
Water spinach," 105 g
",50.0
Coarse grain, 144 g,50.0
Shepherd's purse meatball," 109 g
",50.0
Shredded chicken with green pepper and yam," 104 g
",7.5
Shredded pork in Beijing sauce," 128 g
",25.0
Wax gourd with scallion oil," 179 g
",10.0
Shredded pork with zucchini," 179 g
",0.0
Coarse grain, 191 g,50.0
Fried dough twist, 40 g,50.0
Steamed perch pieces," 102 g
",50.0
Shredded pork with water bamboo and carrot," 111 g
",17.5
Green pepper with green bean sprouts," 103 g
",30.0
Shredded with sweet potato leaves,"  106 g
",80.0
Lettuce with chicken," 162 g
",5.0
Shredded beef with green pepper," 147 g
",7.5
Shredded pork with lettuce,"  123 g
",0.0
Braised fish belly," 146 g
",0.0
Shredded pork with tomato and cabbage," 123 g
",5.0
Diced pork meatballs with lotus root," 101 g
",0.0
Shredded pork with white gourd and carrot," 103 g
",17.5
Hangzhou cabbage," 107 g
",10.0
Coarse grain, 148 g,50.0
Noodles in soup," 100 g
",55.0
Ginseng fruit, 50 g,40.0
Vegetable and rice, 50 g,70.0
"
Shrimp"," 25 g
",50.0
Mushroom and lettuce soup, 100 g,15.0
 Milk, 250 ml,50.0
Sliced bread," 100 g
",75.0
Poached egg, 40 g,0.0
Braised pork with bamboo shoot, 50 g,0.0
Grapefruit, 50 g,25.0
 Noodles in vegetable soup, 100 g,55.0
"Bacon, vegetable and rice"," 100 g
",70.0
Tomato and egg soup, 50 g,0.0
 Apple, 50 g,40.0
Wonton," 100 g
",60.0
Steamed bean curd roll, 25 g,30.0
 Sliced bread," 100 g
",75.0
Hairy crab," 150 g
",0.0
Cauliflower, 200 g,15.0
 Fish fillet," 100 g
",0.0
Steamed bean curd roll,"  25 g
",30.0
Steamed rice cake, 50 g,70.0
 Steamed rice cake, 100 g,70.0
Roast duck, 50 g,0.0
Pitaya, 100 g,50.0
Instant noodles," 100 g
",55.0
Hairy crab, 150 g,0.0
 Boiled egg," 40 g
",0.0
Sliced bread, 100 g,75.0
Shepherd's purse and pork stuffed sweet dumpling," 100 g
",0.0
 Steamed beef bun," 50 g
",0.0
 Cabbage," 50 g
",10.0
 Beef fried bun, 50 g,0.0
Yellow croaker," 50 g
",50.0
Vegetable, 150 g,20.0
 Rice," 50 g
",70.0
Sesame paste cereal, 100 g,50.0
Cauliflower," 150 g
",15.0
Yellow croaker, 50 g,50.0
Spiced beef," 40 g
",0.0
Pig claw and soybean soup, 50 g,30.0
Black rice," 75 g
",70.0
Pig claw soybean soup," 100 g
",30.0
Mushroom and cabbage, 100 g,12.5
Fruit, 50g,40.0
 Cabbage noodles," 100 g
",32.5
Shepherd's purse and pork stuffed sweet dumpling, 75 g,0.0
Black rice," 100 g
",70.0
Pig claw and soybean soup," 100 g
",30.0
Pitaya, 50 g,50.0
 Meatball and vermicelli soup," 100 g
",50.0
Steamed beef bun," 50 g
",0.0
 Coarse grain bread," 50 g
",62.5
Soymilk, 50 g,50.0
Taro soup, 250 g,50.0
 Pitaya, 100 g,50.0
Dried bean," 50 g
",30.0
Soybean soup," 100 g
",30.0
Chicken leg, 100 g,0.0
 Vermicelli soup," 100 g
",50.0
Braised tofu, 50 g,15.0
Vermicelli and meatball soup," 100 g
",50.0
 White fungus soup," 100g
",50.0
Poached egg, 80 g,0.0
Vegetable noodle soup," 100 g
",37.5
Chicken leg, 75 g,0.0
Egg soup," 50 g
",0.0
Vegetable noodles, 300 g,55.0
Steamed bread," 200 g
",75.0
Black rice porridge, 200 g,70.0
Vegetable noodles, 400 g,55.0
Radish noodles, 400 g,55.0
Millet and black rice porridge," 10 g
",70.0
Eggplant, 150 g,0.0
Vegetable and tofu soup," 400 g
",15.0
Radish noodles, 450 g,55.0
Steamed bun," 200 g
",50.0
Noodles soup," 150 g
",55.0
Onion, 100 g,50.0
 Noodles, 400 g,55.0
Tofu cabbage soup," 300 g
",12.5
Steamed bread, 150 g,75.0
Vegetable and tofu stuffed dumpling, 400g,15.0
Vegetable and tofu stuffed dumpling, 400 g,15.0
Vegetable noodles, 450 g,55.0
Vegetable and tofu stuffed dumpling," 450 g
",15.0
Vegetable and tofu stuffed dumpling, 450 g,15.0
Vegetable noodles," 200 g
",55.0
Steamed bread, 200 g,75.0
Lettuce, 100 g,10.0
Bread," 300 g
",75.0
Steamed bun, 150 g,50.0
Chicken meatballs," 25 g
",0.0
Steamed vegetable bun," 60 g
",20.0
Cabbage and radish and bean sprouts and chicken meatball, 500 g,20.0
Steamed vegetable bun," 300 g
",20.0
Cabbage noodles, 550 g,32.5
Noodles," 500 g
",55.0
Bean sprout, 100 g,30.0
Noodles, 400g,55.0
Rice," 500 g
",70.0
Zucchini," 15 g
",50.0
Lettuce," 15 g
",10.0
Chicken, 10 g,0.0
Rice," 300 g
",70.0
Goose egg white," 30 g
",0.0
Fungus and yam," 150 g
",50.0
Steamed vegetable and mushroom stuffed bun, 180 g,15.0
Beef," 60 g
",0.0
Rice, 400 g,70.0
Vegetable noodles," 400 g
",55.0
Fish," 15 g
",0.0
Cauliflower, 25 g,15.0
Meal replacement powder," 75 g
",50.0
Water, 200 g,50.0
Sugar free cereal," 40 g
",50.0
Chia seed," 8 g
",50.0
Coffee," 70 ml
",50.0
Milk, 100 ml,50.0
Cowpea," 50 g
",50.0
Chicken leg, 200 g,0.0
Roast meat, 20 g,50.0
Redoxon, 200 ml,50.0
Bamboo shoot," 20 g
",50.0
Bottle gourd," 30 g
",50.0
Tomato," 20 g
",50.0
Duck meat, 30 g,0.0
Meal replacement powder," 75g
",50.0
Water, 200 ml,50.0
Cereal," 20 g
",50.0
Eggplant," 30 g
",0.0
Diced chicken breast, 50 g,0.0
Roast meat," 100 g
",50.0
Beef tongue," 50 g
",0.0
Pickles," 50 g
",50.0
King oyster mushroom," 25 g
",15.0
Lettuce, 25 g,10.0
Beef noodles," 200 g
",55.0
Eggs, 50 g,0.0
Coffee, 150 ml,50.0
Crayfish," 250 g
",0.0
Bean curd stick," 15 g
",30.0
Quail eggs," 20 g
",0.0
Lettuce," 10 g
",10.0
Chiba tofu, 15 g,15.0
Chia Seed," 8 g
",50.0
Coffee," 200 ml
",50.0
Salmon," 30 g
",50.0
Vegetables," 50 g
",20.0
Coffee, 200 ml,50.0
Cereal milk," 200 ml
",50.0
Broccoli," 50 g
",50.0
Braised pork in brown sauce, 50 g,25.0
Natto, 30 g,50.0
Kiwi fruit, 50 g,40.0
Steamed pork patty with egg," 50 g
",0.0
Steamed gluten, 50 g,50.0
Bamboo shoot," 30 g
",50.0
Shrimp and tofu," 40 g
",15.0
Tomato," 120 g
",50.0
Strawberry, 25 g,25.0
Shrimp," 120 g
",50.0
Shredded pork and dried bean curd," 80 g
",15.0
Poached egg, 100 g,0.0
Peach, 50 g,50.0
Cereal milk, 200ml,50.0
Roasted salmon," 100g
",50.0
Salmon," 50g
",50.0
Sweet shrimp, 50g,50.0
Grapefruit, 480 g,25.0
Steamed stuffed bun, 60 g,50.0
Duck legs," 150 g
",0.0
Tofu and cabbage and egg, 150 g,8.33
Kiwi fruit," 50 g
",40.0
Broccoli, 80 g,50.0
Cereal," 30g
",50.0
Milk," 100ml
",50.0
Corn," 20 g
",50.0
Fried chicken legs," 50 g
",0.0
Squid," 10 g
",50.0
Pork," 20 g
",0.0
Sausage, 10 g,50.0
Crayfish, 750 g,0.0
Soup, 80 g,50.0
Pork chop," 100 g
",0.0
Amaranth," 100 g
",50.0
Tomato and egg soup, 50g,0.0
"
Rice", 80 g,70.0
Tomato and egg soup," 50 g
",0.0
Rice,  80 g,70.0
Pork floss," 30 g
",0.0
Salted duck egg, 25 g,0.0
Fried lettuce," 50 g
",10.0
Pigeon soup, 80 g,50.0
Porridge," 50ml
",50.0
Stewed pork in brown sauce,"200 g
",25.0
Bamboo shoots," 50 g
",50.0
Pigeon soup, 50 ml,50.0
Rice in soup," 80 g
",70.0
Braised pork with dried bamboo shoots, 50 g,0.0
Pomfret," 50 g
",0.0
Broad bean," 60 g
",30.0
Fried pork with dried bamboo shoots," 50 g
",0.0
Dried bamboo shoot, 50 g,50.0
Tofu skin rolls with minced pork," 80 g
",7.5
Shredded potato," 50 g
",80.0
Egg soup, 50 g,0.0
Green pepper and tofu," 60 g
",15.0
Braised pork with dried bamboo shoot, 30 g,0.0
Pork floss, 20 g,0.0
River shrimp," 50 g
",50.0
Broad bean," 80 g
",30.0
Bamboo shoot and pork chop," 60 g
",0.0
Cabbage in chicken soup, 50 g,10.0
River shrimp," 30 g
",50.0
Pork floss," 20 g
",0.0
Braised pork with dried bamboo shoot, 50 g,0.0
Pork floss, 30 g,0.0
Braised pork with dried bamboo shoot," 50 g
",0.0
Amaranth," 60 g
",50.0
Broad bean, 80 g,30.0
Pork chop," 50 g
",0.0
Hairtail," 60 g
",50.0
Vegetable, 80 g,20.0
Lily soup," 80 g
",50.0
Rice cake, 50 g,70.0
Vegetable," 60 g
",20.0
Steamed egg," 50 g
",0.0
Braised bamboo shoot, 50 g,50.0
Dried bean curd," 50 g
",30.0
Sliced potato and sword bean," 60 g
",55.0
Roast duck," 60 g
",0.0
Celery," 60 g
",50.0
White gourd and tomato soup, 50 g,50.0
Pan-fried dumplings," 150 g
",50.0
Steamed pork dumplings, 140 g,0.0
Fried rice," 200 g
",70.0
Tofu," 50 g
",15.0
Meat, 150 g,50.0
Buckwheat steamed bread," 200 g
",75.0
Hairtail, 50 g,50.0
Steamed vegetable bun, 100 g,20.0
Double cooked pork," 90 g
",0.0
Buckwheat bread," 200 g
",75.0
Dried radish," 80 g
",50.0
Boiled cuttlefish," 90 g
",0.0
Cucumber, 200 g,50.0
Chicken leg," 160 g
",0.0
Vermicelli," 40 g
",50.0
Fried diced pork with carrot and potato, 80 g,38.33
Cucumber," 200 g
",50.0
Steamed twisted roll, 100 g,50.0
Salted pancake, 200 g,50.0
Beef noodles," 250 g
",55.0
Marinated egg, 50 g,0.0
Buckwheat bread," 100 g
",75.0
Red sausage, 120 g,50.0
Mutton fried noodles, 250 g,55.0
Buckwheat bread," 250 g
",75.0
Chicken soup, 200 ml,0.0
Corn," 200 g
",50.0
Rice in soup, 50 g,70.0
Rice," 25 g
",70.0
Soup," 50 g
",50.0
Green vegetable and tofu skin knot and fungus, 100 g,15.0
Milk," 195 ml
",50.0
Cereal," 50 g
",50.0
Peach, 160 g,50.0
"Kelp, tofu skin knot, rice in salted soup"," 100g
",42.5
Orange," 50 g
",45.0
Tomato, 200 g,50.0
Rice," 25g
",70.0
Preserved egg," 50 g
",0.0
"Egg soup, water spinach and broad bean", 140g,15.0
Cereal," 25 g
",50.0
Kelp knot," 8 g
",50.0
Pumpkin and  water spinach," 40 g
",50.0
Rye flour cake, 50 g,50.0
Orange, 50 g,45.0
Rice in salted soup," 100 g
",70.0
Vegetable, 70 g,20.0
Peach," 80 g
",50.0
Hawthorn cake," 100 g
",50.0
Pumpkin seed, 50 g,50.0
Long bean," 50 g
",30.0
Yellow peach, 100 g,50.0
Chicken soup," 100 ml
",0.0
Tofu," 15 g
",15.0
Mushroom," 8 g
",15.0
Garlic sprout, 50 g,50.0
Dumpling, 150 g,50.0
Fish steak," 70 g
",0.0
Water spinach," 80 g
",50.0
Green bean," 60 g
",30.0
Melon, 90 g,50.0
Cereal," 35 g
",50.0
Rice in soup," 50 g
",70.0
Tomato, 300 g,50.0
Shredded pork with garlic sauce," 50 g
",25.0
Scrambled egg with towel gourd,  50 g,0.0
Cereal," 30 g
",50.0
Rye flour bread, 50 g,75.0
Chicken soup noodles, 250 g,55.0
Shredded pork with garlic sauce," 100 g
",25.0
Green pepper," 30 g
",15.0
Ham sausage," 50 g
",50.0
Egg soup, 20 g,0.0
Apple," 150 g
",40.0
Water spinach," 50 g
",50.0
White gourd and pork bone soup," 100 ml
",0.0
Beef tendon, 60 g,0.0
Noodles, 100 g,55.0
Beef with onion," 50 g
",0.0
Fried egg with chives," 50 g
",0.0
White gourd soup, 50 g,50.0
Mung bean and lily soup, 50 g,30.0
Beef tendon," 50 g
",0.0
Scallion pancake, 25 g,10.0
Tomatoes," 80 g
",50.0
mung bean cake, 50 g,30.0
Tomato," 200 g
",50.0
Mung bean cake, 50 g,30.0
Mung bean sprouts," 50 g
",30.0
Pork bone soup, 100 ml,0.0
Egg,  50 g,0.0
Instant noodles, 90 g,55.0
Scrambled egg with towel gourd," 50 g
",0.0
Rice in salted soup," 50 g
",70.0
Mung bean cake, 20 g,30.0
Mung bean and lily porridge, 50 g,30.0
Pigeon," 50g
",50.0
Fried gluten puff," 30g
",50.0
Tea tree mushroom," 20g
",15.0
Water bamboo," 50 g
",50.0
Beer, 330 ml,50.0
Milk, 200 g,50.0
Scrambled egg with bean sprouts," 150 g
",15.0
Pigeon soup," 250 ml
",50.0
Peanut, 10 g,50.0
Stir-ried pork with asparagus, 80 g,0.0
"
Beer"," 500 g
",50.0
Kelp soup," 100 g
",50.0
Apple, 150 g,40.0
Shredded pork and celery," 100 g
",0.0
Tomato and tofu," 100 g
",15.0
Dried tofu and celery," 100 g
",15.0
Tomato and fish ball," 150 g
",0.0
Salted duck egg," 50 g
",0.0
Milk, 400 g,50.0
Jellyfish," 100 g
",0.0
Braised pork in brown sauce," 50 g
",25.0
Tofu soup," 100 g
",15.0
Rice, 150 g,70.0
Dried shrimps with white gourd," 100 g
",50.0
Steak," 120 g
",50.0
Beer, 330 g,50.0
Rice dumpling," 250 g
",70.0
Avocado," 100 g
",50.0
Fried pork with potato, 100 g,40.0
Asparagus," 150 g
",50.0
Beer," 330 g
",50.0
Avocados," 100 g
",50.0
White gourd," 100 g
",50.0
Milk," 50 g
",50.0
Rice, 100g,70.0
Potato and onion," 100 g
",80.0
Braised big pork meatball," 100g
",0.0
Peanut," 30 g
",50.0
Bamboo shoot soup," 100 g
",50.0
Buckwheat bread," 120 g
",75.0
Meatball," 100 g
",50.0
Lettuce," 12 g
",10.0
Beef brisket," 80 g
",0.0
Cabbage," 240 g
",10.0
Meatball," 80 g
",50.0
Buckwheat bread," 80 g
",75.0
Sausage," 40 g
",50.0
Mung bean sprout," 100 g
",30.0
Wax gourd," 120 g
",50.0
Braised shrimp, 80 g,50.0
Braised pork with potato," 100 g
",40.0
Beer, 660 g,50.0
Peanut," 20 g
",50.0
Wonton," 180 g
",60.0
Sausage," 60 g
",50.0
Peanut," 40 g
",50.0
Braised pork with potato," 80 g
",40.0
Tomato and bamboo shoot soup," 100 g
",50.0
Scrambled egg with cucumber,"  100 g
",0.0
Pig feet," 80 g
",50.0
Pickled cabbage soup," 80 g
",10.0
Salted fish," 50 g
",0.0
Potato and green pepper," 60 g
",80.0
Apple," 80 g
",40.0
Shrimp," 80 g
",50.0
Bean sprouts," 80 g
",30.0
Fish," 80 g
",0.0
Sausage," 50 g
",50.0
Chicken," 100 g
",0.0
Pumpkin, 50 g,50.0
Steamed twisted roll," 100 g
",50.0
Tofu pudding, 300 g,15.0
Peanut, 150 g,50.0
Duck gizzard," 50 g
",0.0
Eggplant, 100 g,0.0
Pomfret," 150 g
",0.0
Broccoli," 100 g
",50.0
Beef jerky," 50 g
",0.0
Steamed pork dumplings, 200 g,0.0
Beef and rice noodles," 200 g
",62.5
Crispy chicken, 150 g,0.0
"Vegetable, fish, shrimp and vegetable", 250 g,10.0
Green bean," 50 g
",30.0
Fried pork with bitter melon," 250 g
",0.0
Duck, 100 g,0.0
Towel gourd and egg soup," 100 ml
",0.0
Minced meat with eggplant," 100 g
",0.0
Zucchini, 100 g,50.0
Braised pork in brown sauce, 250 g,25.0
Steamed small meat dumpling in basket, 120 g,50.0
"Beef, fish and green bean", 300 g,30.0
Fish," 150 g
",0.0
Vermicelli, 100 g,50.0
Duck," 100 g
",0.0
Steamed bun, 120 g,50.0
Deep-fried dough stick,"  100 g
",50.0
Watermelon, 150 g,50.0
"Long bean, vegetable, pork and Chicken wing", 150 g,15.0
Meat, 75 g,50.0
Corn, 150 g,50.0
Pork," 75 g
",0.0
Sheet jelly, 100 g,50.0
Vermicelli, 50 g,50.0
Sweet potato," 150 g
",80.0
Corn, 75 g,50.0
Broad bean, 50 g,30.0
Tofu pudding," 50 g
",15.0
Pancake, 100 g,50.0
"Vermicelli ,vegetable and meatball"," 250 g
",20.0
Meat dishes, 50 g,50.0
Duck egg, 50 g,0.0
Meat, 50 g,50.0
Tofu pudding," 200 g
",15.0
Cake, 200 g,50.0
Steamed bun," 150 g
",50.0
Steamed bread," 150 g
",75.0
Fish, 75 g,0.0
Mutton," 112.49 g
",50.0
Shrimp, 48.6 g,50.0
"
Sheet jelly", 19.6 g,50.0
"
Cabbage,lettuce, cilantro, needle mushroom and spinach", 428.8 g,12.5
Noodles, 289 g,55.0
"
Cabbage, lettuce, coriander, needle mushroom and spinach"," 986 g
",12.5
Chicken," 20 g
",0.0
Sour bamboo shoots, 20 g,50.0
"Cabbage, lettuce, coriander, needle mushroom and spinach"," 986 g
",12.5
Peanuts," 10 g
",50.0
Sour bamboo shoots," 20 g
",50.0
Vegetable," 348.9 g
",20.0
Fried chicken legs, 149.4 g,0.0
Tomato," 96.2 g
",50.0
Cucumber," 65.1 g
",50.0
Sandwich," 129.2 g
",50.0
Milk, 180 ml,50.0
Chicken and coriander, 420.5 g,0.0
"
Clams"," 420.5 g
",50.0
Shrimp, 180.3 g,50.0
Cauliflower," 113.4 g
",15.0
Fried meat with cowpea," 106.3 g
",50.0
Egg," 51.7 g
",0.0
Shrimp, 93.3 g,50.0
Fried pork slices with cauliflower," 141.7 g
",7.5
Fried meat with cowpea," 173.2 g
",50.0
Shrimp," 115.7 g
",50.0
Egg, 55.3 g,0.0
Cowpea," 59.3 g
",50.0
Pleurotus Eryngii, 131.6 g,50.0
"
Beef and celery beef"," 79.2 g
",0.0
Protein," 113.5 g
",50.0
Chicken leg, 87.5 g,0.0
Pleurotus Eryngii," 97.4 g
",50.0
Beef and celery,  141.1 g,0.0
"
Lettuce", 181.6 g,10.0
"
chicken leg", 122.9 g,0.0
Pancake," 200 g
",50.0
Tenderloin, 60 g,50.0
 Chicken gizzard," 132.5 g
",0.0
 Beef," 51.4 g
",0.0
 Scamble egg with tomato," 240 g
",0.0
 Chicken breast," 54.7 g
",0.0
 Vegetable, 130 g,20.0
Fried beef with celery," 116.3 g
",0.0
Shrimp," 74.3 g
",50.0
Water spinach, 84.7 g,50.0
"
Mutton", 51 g,50.0
"
Smoked tofu", 82 g,15.0
"
Chicken meat roll", 137.9 g,0.0
Dumpling stuffed with minced pork and eggplant, 80 g,0.0
Wax apple, 100 g,40.0
Coarse grain," 60 g
",50.0
Bitter gourd," 5 g
",50.0
Cowpea," 15 g
",50.0
Steamed gluten," 10 g
",50.0
Black fungus," 10 g
",50.0
Tofu skin knot, 15 g,15.0
Soybean milk," 250 ml
",30.0
Steamed coarse grain bread," 67 g
",62.5
Cherry tomato, 100 g,50.0
Cowpea," 60 g
",50.0
Pork rib," 70 g
",0.0
Steamed gluten," 5 g
",50.0
Tofu and fish soup, 250 g,15.0
Bitter gourd," 10 g
",50.0
Garlic sprout and pork," 80 g
",0.0
Fungus," 15 g
",50.0
Peanut, 240 g,50.0
Steamed coarse grain bread, 60 g,62.5
Dumpling stuffed with minced pork and eggplant,  80 g,0.0
Garlic sprout," 50 g
",50.0
Needle mushroom," 30 g
",15.0
Beef," 220 g
",0.0
Scallion pancake," 60 g
",10.0
Cabbage," 70 g
",10.0
Dried bean curd," 40 g
",30.0
Pickle," 30 g
",50.0
Green soy bean, 20 g,30.0
Beef," 200 g
",0.0
Sea weed," 40 g
",50.0
Dried bean curd, 20 g,30.0
Kelp," 20 g
",50.0
Broad bean," 10 g
",30.0
Pumpkin," 40 g
",50.0
Cabbage, 80 g,10.0
Cowpea," 30 g
",50.0
Dried bamboo shoot and pork, 100 g,0.0
Milllet porridge," 140 g
",50.0
Salted egg, 60 g,0.0
Fried shrimp with pepper," 250 g
",15.0
Sweet potato leaves, 30 g,80.0
Sweet potato leaves," 30 g
",80.0
Shrimp, 250 g,50.0
Steamed coarse grain bread," 60 g
",62.5
Boiled egg," 60 g
",0.0
Tofu pudding, 50 g,15.0
Shredded radish and pork sauce," 60 g
",25.0
Sweet potato," 60 g
",80.0
Dumpling, 230 g,50.0
Coarse grain," 70 g
",50.0
Cold needle mushroom," 40 g
",15.0
Green soy bean," 30 g
",30.0
Braised pork with dried bamboo shoot,"  90 g
",0.0
Beef," 20 g
",0.0
Spinach and egg soup," 300 g
",0.0
Towel gourd and green soy bean," 100 g
",30.0
Needle mushroom," 40 g
",15.0
Dried bamboo shoot," 30 g
",50.0
Beef, 210 g,0.0
Steamed gluten," 30 g
",50.0
Fungus," 30 g
",50.0
"Green pepper, water bamboo and shredded pork", 280 g,0.0
 Milk," 250 ml
",50.0
Steamed gluten," 20 g
",50.0
Dried bamboo shoot," 40 g
",50.0
Fish soup, 300 g,0.0
Fungus," 20 g
",50.0
Onion," 20 g
",50.0
Carrot and pepper, 300 g,35.0
Dried bamboo shoot and water bamboo," 80 g
",50.0
Cabbage," 60 g
",10.0
Pork," 150 g
",0.0
Vermicelli," 30 g
",50.0
Bitter gourd, 260 g,50.0
Boiled egg, 250 g,0.0
Bitter gourd," 30 g
",50.0
Vermicelli and pork, 250 g,0.0
Cake, 30 g,50.0
Cabbage and vermicelli," 80 g
",10.0
Pepper and kidney bean," 70 g
",30.0
Chicken nugget, 250 g,0.0
Milk," 250 g
",50.0
Wax apple, 115 g,40.0
Shepherd's purse and meat stuffed dumplings, 210 g,50.0
Green vegetable," 100 g
",20.0
Snow pea," 80 g
",50.0
Pork rib," 35 g
",0.0
Rice cake," 35 g
",70.0
Peanut," 26 g
",50.0
Millet porridge, 150 mL,50.0
Wax apple, 110 g,40.0
Vegetable ball, 221 g,20.0
Shredded radish and coriander," 100 g
",50.0
Bean sprouts," 100 g
",30.0
"Celery, carrot, bamboo shoots and red sausage", 100 g,35.0
Peanuts with vinegar," 40 g
",50.0
Black rice cake, 80 g,70.0
Fruit, 110 g,40.0
Vegetable ball," 120 g
",20.0
Pork rib," 37 g
",0.0
Bean sprouts, 86 g,30.0
Sweet potato, 85 g,80.0
Fried hairtail," 50 g
",50.0
Tomato and egg soup, 100ml,0.0
Black rice cake," 57 g
",70.0
Peanuts with vinegar," 25 g
",50.0
Vegetable ball," 126 g
",20.0
"Onion, pepper and carrot"," 100 g
",35.0
Pork rib," 27 g
",0.0
Celery and carrot, 50 g,35.0
Sweet potato, 100 g,80.0
Cabbage and vermicelli," 100 g
",10.0
"Green pepper, onion and carrot"," 100 g
",35.0
Salted duck, 50 g,0.0
Steamed bread stuffed with Shepherd's purse and meat," 113 g
",75.0
Peanuts with vinegar," 31 g
",50.0
Soybean milk, 250 ml,30.0
Coarse grain steamed bread," 53 g
",62.5
Coriander and shredded radish," 100 g
",50.0
Boiled duck, 43 g,0.0
Coarse grain," 52 g
",50.0
Coriander and radish shreds," 100 g
",50.0
"Green pepper, tofu skin knot and red sausage"," 87 g
",15.0
Pork stuffed tofu skin, 40 g,7.5
Coarse grain," 55 g
",50.0
Millet porridge, 130 g,50.0
Fried leek," 100 g
",50.0
Boiled shrimp," 62 g
",50.0
Fried egg with leek," 100 g
",0.0
Braised mutton, 50 g,50.0
Coarse grain steamed bread," 66 g
",62.5
Peanuts with vinegar," 30 g
",50.0
Buckwheat dough, 250 g,75.0
Needle mushroom salad," 100 g
",15.0
Nut biscuit, 30 g,50.0
fungus with vegetable," 100 g
",20.0
Steamed bean curd roll," 90 g
",30.0
Shredded radish with coriander," 100 g
",50.0
Salted shrimp, 42 g,50.0
Peanuts with vinegar," 50 g
",50.0
