dish,net,Estimated GI
Spinach," 101 g
",50.0
Shredded pork with celery," 110 g
",0.0
Steamed fish," 102 g
",0.0
Sliced duck with yam and tomato," 128 g
",0.0
Minced pork with pumpkin and scallion oil," 114 g
",0.0
Cabbage," 118 g
",10.0
Braised duck slices with green pepper and onion," 138 g
",7.5
Vegetable," 122 g
",20.0
Minced meat and cowpea," 112 g
",50.0
Sliced pork with snow pea and yam," 152 g
",0.0
Shredded Chinese cabbage and carrot," 123 g
",22.5
Shredded pork with broccoli," 124 g
",0.0
Coarse grain, 221 g,50.0
biscuit, 10 g,50.0
Sliced pork with king oyster mushroom and fungus," 134 g
",7.5
Minced pork with tomato and cabbage,"  124 g
",5.0
Sweet potato leaves," 114 g
",80.0
Coarse grain, 284 g,50.0
Steamed chicken with mushrooms," 130 g
",15.0
Minced pork with white gourd and carrot," 125 g
",17.5
Hangzhou cabbage," 124 g
",10.0
Coarse grain, 291 g,50.0
Steamed bread, 100 g,75.0
Scrambled egg with tomato," 159 g
",0.0
Shredded pork with green pepper and carrot," 101 g
",17.5
Coarse grain, 285 g,50.0
Pork jerky, 18 g,0.0
Pork stuffed green pepper," 124g
",0.0
Shredded pork with tomato and cabbage," 117 g
",5.0
Lettuce,"	124g
",10.0
Steamed chicken with mushrooms," 109 g
",15.0
Minced pork with broccoli and carrot," 115 g
",17.5
Chinese cabbage," 115 g
",10.0
Coarse grain, 282 g,50.0
Pork jerky, 36 g,0.0
Braised pork with tofu skin knot," 117 g
",7.5
Shredded pork with celery," 114 g
",0.0
Spinach," 112 g
",50.0
Coarse grain, 290 g,50.0
Sliced pork with lettuce and fungus," 151 g
",0.0
Shredded pork with cucumber," 114 g
",0.0
Cabbage," 106 g
",10.0
Pork jerky, 10 g,0.0
Braised duck slices with green pepper and onion," 136 g
",7.5
Minced pork with cowpea," 119 g
",0.0
Coarse grain, 292 g,50.0
Braised chicken with water bamboo and carrot,"	178 g
",35.0
Shredded pork with broccoli," 120 g
",0.0
Shredded Chinese cabbage and carrot," 122 g
",22.5
Coarse grain, 276 g,50.0
Beef jerky," 10 g
",0.0
Egg," 66 g
",0.0
Boiled vegetable, 122 g,20.0
Fried fish slices with tomatoes," 136 g
",0.0
Minced pork with yam and corn," 119 g
",0.0
Hangzhou cabbage," 121 g
",10.0
Coarse grain, 280 g,50.0
Sliced pork with celery and ginkgo," 119 g
",0.0
Shredded pork with lettuce and carrot," 134 g
",17.5
Vegetable," 127 g
",20.0
Sliced pork with green pepper and mushroom," 102 g
",7.5
Braised shredded pork and cabbage," 119 g
",5.0
Green pepper and green bean sprouts," 115 g
",30.0
Diced duck with lettuce and carrot," 128 g
",35.0
Shredded pork with green pepper and water bamboo," 119 g
",0.0
Vegetable," 115 g
",20.0
Coarse grain, 287 g,50.0
Steamed bun," 50 g
",50.0
Milk," 250 ml
",50.0
Egg," 50 g
",0.0
Steamed pork bun, 80 g,0.0
Vegetable," 50 g
",20.0
Boiled duck meat," 20 g
",0.0
Steamed small meat dumpling in basket," 50 g
",50.0
Coarse grain, 80 g,50.0
Vegetable," 30 g
",20.0
"2 Shrimps
Shredded kelp"," 30 g
",50.0
Rice, 75 g,70.0
Peanut," 10 g
",50.0
Strawberry," 100 g
",25.0
Loquat, 40 g,50.0
Steamed vegetable bun," 116 g
",20.0
Rice," 62 g
",70.0
Boiled duck meat," 61 g
",0.0
Cauliflower," 26 g
",15.0
Kelp, 16 g,50.0
Bitter gourd," 172 g
",50.0
Vegetable," 44 g
",20.0
Kelp," 17 g
",50.0
Duck leg," 15 g
",0.0
Rice, 56 g,70.0
Steamed pork dumplings,"  74 g
",0.0
Bean," 40 g
",30.0
Milk,  250 g,50.0
Cauliflower," 227 g
",15.0
Gluten," 39 g
",50.0
Pork meatball," 25 g
",0.0
Sausage," 19 g
",50.0
Rice," 47 g
",70.0
Pork meatball, 58 g,0.0
Biscuit," 5 g
",50.0
Peanut, 20 g,50.0
Gluten," 56 g
",50.0
Sausage," 30 g
",50.0
Corn," 122 g
",50.0
Lean meat," 39 g
",50.0
Buckwheat noodles, 240 g,55.0
Steamed vegetable bun," 112 g
",20.0
Steamed pork dumplings," 61 g
",0.0
Steamed small meat dumpling in basket," 51 g
",50.0
Egg," 40 g
",0.0
Bean," 51 g
",30.0
Rice," 135 g
",70.0
Gluten," 48 g
",50.0
Vegetable," 215 g
",20.0
Sausage," 22 g
",50.0
Pork meatball, 42 g,0.0
Loquat," 30 g
",50.0
Strawberry," 80 g
",25.0
Walnut, 30 g,50.0
Vegetable," 180 g
",20.0
Gluten," 52 g
",50.0
Cucumber," 168 g
",50.0
Beef," 54 g
",0.0
Coarse grain, 98 g,50.0
Steamed vegetable bun," 192 g
",20.0
Bean, 68 g,30.0
Coarse grain," 150 g
",50.0
Beef," 44 g
",0.0
Cucumber," 146 g
",50.0
Gluten," 44 g
",50.0
Vegetable, 35 g,20.0
Coarse grain," 166 g
",50.0
Beef," 56 g
",0.0
Cucumber," 68 g
",50.0
Gluten," 38 g
",50.0
Vegetable, 127 g,20.0
Biscuit, 120 g,50.0
Biscuit, 21 g,50.0
Dumpling, 262 g,50.0
Beef," 39 g
",0.0
Vegetable," 216 g
",20.0
Coarse grain," 148 g
",50.0
Winter gourd, 136 g,50.0
Peanut," 19 g
",50.0
Walnut," 42 g
",50.0
Loquat," 48 g
",50.0
Bread, 50 g,75.0
Steamed vegetable bun," 193 g
",20.0
Egg white," 35 g
",0.0
Bean," 64 g
",30.0
Winter gourd," 234 g
",50.0
Chinese cabbage," 154 g
",10.0
Fried egg," 166 g
",0.0
Vegetable," 163 g
",20.0
Coarse grain," 113 g
",50.0
Beef, 22 g,0.0
Coarse grain," 141 g
",50.0
Beef," 49 g
",0.0
Vegetable," 166 g
",20.0
Chinese cabbage," 239 g
",10.0
Fried egg, 179 g,0.0
Peanut," 15 g
",50.0
Walnut, 50 g,50.0
Bean," 45 g
",30.0
Steamed vegetable bun, 163 g,20.0
Beef," 53 g
",0.0
Fried egg," 219 g
",0.0
Coarse grain, 186 g,50.0
Egg white, 25 g,0.0
Chinese cabbage," 264 g
",10.0
Beef," 45 g
",0.0
Fried egg," 173 g
",0.0
Coarse grain, 109 g,50.0
Boiled dumpling, 211 g,50.0
Vegetable," 219 g
",20.0
Oil pastry," 168 g
",50.0
Beef," 26 g
",0.0
Bread, 150 g,75.0
Coarse grain," 91 g
",50.0
Vegetable," 168 g
",20.0
Oil pastry," 70 g
",50.0
Kung Pao Chicken," 64 g
",0.0
Corn soup, 24 g,50.0
Milk," 260 g
",50.0
Steamed corn bun," 42 g
",50.0
Bean," 71 g
",30.0
Steamed pork dumplings,"  67 g
",0.0
Egg, 34 g,0.0
Dumpling," 287 g
",50.0
Steamed bun, 47 g,50.0
Crucian carp," 178 g
",0.0
Vegetable," 154 g
",20.0
Scrambled egg with tomato," 79 g
",0.0
Kung Pao Chicken," 71 g
",0.0
Coarse grain," 109 g
",50.0
Steamed egg with pork, 39 g,0.0
Coarse grain steamed bread," 55 g
",62.5
Bean," 48 g
",30.0
Milk, 220 g,50.0
Vegetable," 173 g
",20.0
Sword bean," 75 g
",30.0
Oil pastry,"  77 g
",50.0
Steamed egg with lean pork," 73 g
",0.0
Coarse grain," 129 g
",50.0
Scrambled egg with tomato, 66 g,0.0
Vegetable," 143 g
",20.0
Sword bean," 119 g
",30.0
Oil pastry,"  69 g
",50.0
Steamed egg with pork," 70 g
",0.0
Coarse grain," 151 g
",50.0
Scrambled egg with tomato, 112 g,0.0
Marinated egg," 23 g
",0.0
Chicken wing," 16 g
",0.0
Tofu skin rolls with minced pork," 45 g
",7.5
Cucumber," 141 g
",50.0
Coarse grain, 85 g,50.0
Coarse grain steamed bread," 50 g
",62.5
Egg," 39 g
",0.0
Steamed pork dumplings," 64 g
",0.0
Milk, 187 g,50.0
Cucumber," 137 g
",50.0
Chicken wing," 23 g
",0.0
Braised pork," 28 g
",0.0
Tofu skin rolls with minced pork," 37 g
",7.5
Brown daisy," 147 g
",50.0
Coarse grain," 99 g
",50.0
Snakehead fish," 55 g
",0.0
Soup, 140 g,50.0
Tofu skin rolls with minced pork," 38 g
",7.5
Vegetable," 138 g
",20.0
Coarse grain," 102 g
",50.0
Soup," 94 g
",50.0
Wax gourd," 127 g
",50.0
Braised pork in brown sauce, 46 g,25.0
Cucumber, 100g,50.0
Steamed bun," 101 g
",50.0
Egg," 56 g
",0.0
Milk," 263 g
",50.0
Bean, 30 g,30.0
Shrimp," 21 g
",50.0
Tofu skin rolls with minced pork," 41 g
",7.5
Salty boiled goose," 20 g
",50.0
Braised pork," 34 g
",0.0
Coarse grain," 53 g
",50.0
Snakehead fish," 77 g
",0.0
Soup, 134 g,50.0
Onion and beef," 39 g
",0.0
Cauliflower," 92 g
",15.0
Shrimp," 12 g
",50.0
Salty boiled goose," 61 g
",50.0
Vegetable," 53 g
",20.0
Chicken wing," 18 g
",0.0
Tofu skin rolls with minced pork," 28 g
",7.5
Snakehead fish soup, 130 g,0.0
Coarse grain steamed bun," 131 g
",50.0
Bean," 20 g
",30.0
Milk," 206 g
",50.0
Egg, 60 g,0.0
Onion and beef," 50 g
",0.0
Shrimp," 74 g
",50.0
Cauliflower," 104 g
",15.0
Salty boiled goose," 79 g
",50.0
Chicken wing," 29 g
",0.0
Braised pork in brown sauce," 40 g
",25.0
Coarse grain, 117 g,50.0
Shrimp," 56 g
",50.0
Cauliflower," 105 g
",15.0
Salt boiled duck," 89 g
",0.0
Vegetable," 54 g
",20.0
Chicken wing," 32 g
",0.0
Braised pork in brown sauce," 33 g
",25.0
Buckwheat bread," 25 g
",75.0
Milk cereal," 174 g
",50.0
Steamed small meat dumpling in basket, 51 g,50.0
Egg," 55g
",0.0
Coarse grain steamed bread," 100g
",62.5
Milk cereal, 300ml,50.0
Steamed bread," 72 g
",75.0
Milk, 185 g,50.0
Shepherd's purse stuffed pork meatball," 278 g
",0.0
Bitter gourd," 148 g
",50.0
Shrimp, 77 g,50.0
Shepherd's-purse stuffed pork meatball," 244 g
",0.0
Bitter gourd," 174 g
",50.0
Coarse grain," 131 g
",50.0
Shrimp, 92 g,50.0
Steamed bread," 30 g
",75.0
Milk," 180 g
",50.0
Coarse grain steamed bread," 21 g
",62.5
Egg, 26 g,0.0
Rice," 150 g
",70.0
Vegetable," 250 g
",20.0
Mandarin fish, 222 g,0.0
Apple," 40g
",40.0
Omelette, 25g,50.0
Tomato and egg soup," 250 g
",0.0
Buckwheat noodles, 200 g,55.0
Milk cereal," 172 g
",50.0
Egg," 60 g
",0.0
Bean, 46 g,30.0
Wonton, 300 g,60.0
Vegetable," 148 g
",20.0
Bamboo shoot and pork bone soup," 203 g
",0.0
Wonton, 211 g,60.0
Steamed bread," 35 g
",75.0
Pan fried bun," 54 g
",50.0
Bean," 30 g
",30.0
Milk, 166 g,50.0
Vegetable," 159 g
",20.0
Shrimp and winter bamboo shoot," 234 g
",50.0
Rice," 140 g
",70.0
