dish,net,Estimated_GI,net_cleaned,Net_Carbs,GL
Minced pork with zucchini, 103 g,0.0,103.0,30.9,0.0
"
Coarse grain", 117 g,40.0,117.0,35.1,14.04
Coarse grain steamed bread," 136 g
",40.0,136.0,40.8,16.32
Boiled vegetable, 111 g,50.0,111.0,33.3,16.65
Braised pork with radish," 124 g
",0.0,124.0,37.199999999999996,0.0
Shredded pork with water bamboo and carrot," 114 g
",20.0,114.0,34.199999999999996,6.839999999999999
Coarse grain, 100 g,40.0,100.0,30.0,12.0
Egg, 69 g,30.0,69.0,20.7,6.21
Sliced boiled duck," 108 g
",50.0,108.0,32.4,16.2
Coarse grain, 135 g,40.0,135.0,40.5,16.2
Coarse grain steamed bread," 140 g
",40.0,140.0,42.0,16.8
Boiled vegetable, 111 g,50.0,111.0,33.3,16.65
Chicken nuggets with green pepper," 162 g
",50.0,162.0,48.6,24.3
Minced pork with cauliflower and fungus,"  72 g
",8.75,72.0,21.599999999999998,1.8899999999999997
Coarse grain, 118 g,40.0,118.0,35.4,14.16
Egg, 58 g,30.0,58.0,17.4,5.22
Diced duck with water bamboo," 128 g
",50.0,128.0,38.4,19.2
Shredded pork and shredded lettuce,"  62 g
",0.0,62.0,18.599999999999998,0.0
Coarse grain, 127 g,40.0,127.0,38.1,15.24
Coarse grain steamed bread," 137 g
",40.0,137.0,41.1,16.44
Boiled vegetable, 111 g,50.0,111.0,33.3,16.65
Sliced pork with king oyster mushroom and fungus," 149 g
",6.25,149.0,44.699999999999996,2.79375
Minced pork with tomato and cabbage," 64 g
",0.0,64.0,19.2,0.0
Coarse grain, 126 g,40.0,126.0,37.8,15.12
Egg, 70 g,30.0,70.0,21.0,6.3
Steamed chicken with mushrooms," 147 g
",12.5,147.0,44.1,5.5125
Minced pork with white gourd and carrot," 78 g
",20.0,78.0,23.4,4.68
Coarse grain, 127 g,40.0,127.0,38.1,15.24
Coarse grain steamed bread," 140 g
",40.0,140.0,42.0,16.8
Boiled vegetable, 107 g,50.0,107.0,32.1,16.05
Sliced pork with asparagus and fungus," 154 g
",0.0,154.0,46.199999999999996,0.0
Minced pork with cucumber and scallion oil," 102 g
",0.0,102.0,30.599999999999998,0.0
Cabbage," 108 g
",50.0,108.0,32.4,16.2
Coarse grain, 215 g,40.0,215.0,64.5,25.8
Egg," 61 g
",30.0,61.0,18.3,5.49
Coarse grain steamed bread," 136 g
",40.0,136.0,40.8,16.32
Boiled vegetable, 111 g,50.0,111.0,33.3,16.65
Braised duck slices with green pepper and onion," 135 g
",50.0,135.0,40.5,20.25
Minced pork with cowpea," 111 g
",0.0,111.0,33.3,0.0
Vegetable," 114 g
",50.0,114.0,34.199999999999996,17.099999999999998
Coarse grain, 266 g,40.0,266.0,79.8,31.92
Sliced pork with snow pea and yam," 135 g
",0.0,135.0,40.5,0.0
Shredded pork with broccoli," 114 g
",0.0,114.0,34.199999999999996,0.0
Shredded Chinese cabbage and carrot," 107 g
",27.5,107.0,32.1,8.8275
Coarse grain, 271 g,40.0,271.0,81.3,32.52
Egg," 69 g
",30.0,69.0,20.7,6.21
Coarse grain steamed bread," 136 g
",40.0,136.0,40.8,16.32
Boiled vegetable, 107 g,50.0,107.0,32.1,16.05
Stir-fried fish slices with tomatoes," 141 g
",50.0,141.0,42.3,21.15
Minced meat with yam and corn," 101 g
",50.0,101.0,30.299999999999997,15.149999999999999
Amaranthus," 94 g
",50.0,94.0,28.2,14.1
Coarse grain, 286 g,40.0,286.0,85.8,34.32
Braised eggs and small meat balls," 169 g
",30.0,169.0,50.699999999999996,15.209999999999997
