dish,net,Estimated_GI,net_cleaned,Net_Carbs,GL
Egg," 50 g
",30.0,50.0,15.0,4.5
Steamed bun, 100 g,50.0,100.0,30.0,15.0
Vegetable," 200 g
",50.0,200.0,60.0,30.0
Rice, 50 g,50.0,50.0,15.0,7.5
Steamed bun," 100 g
",50.0,100.0,30.0,15.0
Vegetable," 150 g
",50.0,150.0,45.0,22.5
Fish, 50 g,50.0,50.0,15.0,7.5
Sweet potato," 150 g
",50.0,150.0,45.0,22.5
Broad bean," 50 g
",50.0,50.0,15.0,7.5
Milk, 250 ml,50.0,250.0,75.0,37.5
Sweet potato," 100 g
",50.0,100.0,30.0,15.0
Vegetable," 100 g
",50.0,100.0,30.0,15.0
Corn, 75 g,50.0,75.0,22.5,11.25
Milk," 250 ml
",50.0,250.0,75.0,37.5
Egg," 50 g
",30.0,50.0,15.0,4.5
Steamed bun, 100 g,50.0,100.0,30.0,15.0
Rice," 50 g
",50.0,50.0,15.0,7.5
Vegetable," 150 g
",50.0,150.0,45.0,22.5
Broad bean, 50 g,50.0,50.0,15.0,7.5
Tofu pudding," 50 g
",50.0,50.0,15.0,7.5
Pancake, 100 g,50.0,100.0,30.0,15.0
Milk," 250 ml
",50.0,250.0,75.0,37.5
Steamed bun," 100 g
",50.0,100.0,30.0,15.0
Egg, 50 g,30.0,50.0,15.0,4.5
"Vermicelli ,vegetable and meatball"," 250 g
",50.0,250.0,75.0,37.5
Biscuit, 10 g,50.0,10.0,3.0,1.5
Rice," 100 g
",50.0,100.0,30.0,15.0
Vegetable," 200 g
",50.0,200.0,60.0,30.0
Meat dishes, 50 g,50.0,50.0,15.0,7.5
Milk," 250 ml
",50.0,250.0,75.0,37.5
Steamed bun," 100 g
",50.0,100.0,30.0,15.0
Duck egg, 50 g,30.0,50.0,15.0,4.5
Rice," 100 g
",50.0,100.0,30.0,15.0
Vegetable," 150 g
",50.0,150.0,45.0,22.5
Meat, 50 g,50.0,50.0,15.0,7.5
Tofu pudding," 200 g
",50.0,200.0,60.0,30.0
Egg," 50 g
",30.0,50.0,15.0,4.5
Cake, 200 g,50.0,200.0,60.0,30.0
Steamed bun," 150 g
",50.0,150.0,45.0,22.5
Egg," 50 g
",30.0,50.0,15.0,4.5
Milk, 250 ml,50.0,250.0,75.0,37.5
Rice," 50 g
",50.0,50.0,15.0,7.5
Vegetable," 150 g
",50.0,150.0,45.0,22.5
Fish, 100 g,50.0,100.0,30.0,15.0
Egg," 50 g
",30.0,50.0,15.0,4.5
Steamed bread," 150 g
",50.0,150.0,45.0,22.5
Milk, 250 ml,50.0,250.0,75.0,37.5
Vegetable," 150 g
",50.0,150.0,45.0,22.5
Beer," 330 g
",50.0,330.0,99.0,49.5
Fish, 75 g,50.0,75.0,22.5,11.25
Mutton," 112.49 g
",50.0,112.49,33.747,16.8735
Shrimp, 48.6 g,50.0,48.6,14.58,7.29
"
Sheet jelly", 19.6 g,50.0,19.6,5.88,2.94
"
Cabbage,lettuce, cilantro, needle mushroom and spinach", 428.8 g,12.5,428.8,128.64,16.08
Noodles, 289 g,50.0,289.0,86.7,43.35
"
Cabbage, lettuce, coriander, needle mushroom and spinach"," 986 g
",12.5,986.0,295.8,36.975
Peanut," 10 g
",50.0,10.0,3.0,1.5
Chicken," 20 g
",50.0,20.0,6.0,3.0
Sour bamboo shoots, 20 g,50.0,20.0,6.0,3.0
"Cabbage, lettuce, coriander, needle mushroom and spinach"," 986 g
",12.5,986.0,295.8,36.975
Peanuts," 10 g
",50.0,10.0,3.0,1.5
Chicken," 20 g
",50.0,20.0,6.0,3.0
Sour bamboo shoots," 20 g
",50.0,20.0,6.0,3.0
Vegetable," 348.9 g
",50.0,348.9,104.66999999999999,52.334999999999994
Fried chicken legs, 149.4 g,50.0,149.4,44.82,22.41
Tomato," 96.2 g
",50.0,96.2,28.86,14.43
Cucumber," 65.1 g
",50.0,65.1,19.529999999999998,9.764999999999999
Sandwich," 129.2 g
",50.0,129.2,38.76,19.38
Milk, 180 ml,50.0,180.0,54.0,27.0
Chicken and coriander, 420.5 g,50.0,420.5,126.14999999999999,63.075
"
Clams"," 420.5 g
",50.0,420.5,126.14999999999999,63.075
Shrimp, 180.3 g,50.0,180.3,54.09,27.045
Cauliflower," 113.4 g
",17.5,113.4,34.02,5.9535
Fried meat with cowpea," 106.3 g
",50.0,106.3,31.889999999999997,15.944999999999999
Egg," 51.7 g
",30.0,51.7,15.51,4.6530000000000005
Shrimp, 93.3 g,50.0,93.3,27.99,13.995
Fried pork slices with cauliflower," 141.7 g
",8.75,141.7,42.51,3.7196249999999997
Fried meat with cowpea," 173.2 g
",50.0,173.2,51.959999999999994,25.979999999999997
Shrimp," 115.7 g
",50.0,115.7,34.71,17.355
Egg, 55.3 g,30.0,55.3,16.59,4.977
Cowpea," 59.3 g
",50.0,59.3,17.79,8.895
Pleurotus Eryngii, 131.6 g,50.0,131.6,39.48,19.74
"
Beef and celery beef"," 79.2 g
",50.0,79.2,23.76,11.88
Protein," 113.5 g
",50.0,113.5,34.05,17.025
Chicken leg, 87.5 g,50.0,87.5,26.25,13.125
Pleurotus Eryngii," 97.4 g
",50.0,97.4,29.22,14.61
Beef and celery,  141.1 g,50.0,141.1,42.33,21.165
"
Lettuce", 181.6 g,50.0,181.6,54.48,27.24
"
chicken leg", 122.9 g,50.0,122.9,36.87,18.435
Pancake," 200 g
",50.0,200.0,60.0,30.0
Lettuce," 60 g
",50.0,60.0,18.0,9.0
Eggs," 50 g
",30.0,50.0,15.0,4.5
Tenderloin, 60 g,50.0,60.0,18.0,9.0
 Chicken gizzard," 132.5 g
",50.0,132.5,39.75,19.875
 Beef," 51.4 g
",50.0,51.4,15.419999999999998,7.709999999999999
 Scamble egg with tomato," 240 g
",30.0,240.0,72.0,21.6
 Chicken breast," 54.7 g
",50.0,54.7,16.41,8.205
 Vegetable, 130 g,50.0,130.0,39.0,19.5
Fried beef with celery," 116.3 g
",50.0,116.3,34.89,17.445
Shrimp," 74.3 g
",50.0,74.3,22.29,11.145
Water spinach, 84.7 g,50.0,84.7,25.41,12.705
"
Mutton", 51 g,50.0,51.0,15.299999999999999,7.65
"
Smoked tofu", 82 g,50.0,82.0,24.599999999999998,12.3
"
Chicken meat roll", 137.9 g,50.0,137.9,41.37,20.685
Dumpling stuffed with minced pork and eggplant, 80 g,15.0,80.0,24.0,3.6
Wax apple, 100 g,50.0,100.0,30.0,15.0
Coarse grain," 60 g
",40.0,60.0,18.0,7.2
Bitter gourd," 5 g
",50.0,5.0,1.5,0.75
Cowpea," 15 g
",50.0,15.0,4.5,2.25
Steamed gluten," 10 g
",50.0,10.0,3.0,1.5
Black fungus," 10 g
",50.0,10.0,3.0,1.5
Peanut," 10 g
",50.0,10.0,3.0,1.5
Tofu skin knot, 15 g,50.0,15.0,4.5,2.25
Soybean milk," 250 ml
",50.0,250.0,75.0,37.5
Steamed coarse grain bread," 67 g
",40.0,67.0,20.099999999999998,8.04
Egg," 60 g
",30.0,60.0,18.0,5.4
Cherry tomato, 100 g,50.0,100.0,30.0,15.0
Coarse grain," 50 g
",40.0,50.0,15.0,6.0
Cowpea," 60 g
",50.0,60.0,18.0,9.0
Pork rib," 70 g
",0.0,70.0,21.0,0.0
Steamed gluten," 5 g
",50.0,5.0,1.5,0.75
Tofu and fish soup, 250 g,50.0,250.0,75.0,37.5
Coarse grain," 50 g
",40.0,50.0,15.0,6.0
Bitter gourd," 10 g
",50.0,10.0,3.0,1.5
Hairtail," 40 g
",50.0,40.0,12.0,6.0
Garlic sprout and pork," 80 g
",0.0,80.0,24.0,0.0
Steamed gluten," 10 g
",50.0,10.0,3.0,1.5
Fungus," 15 g
",50.0,15.0,4.5,2.25
Peanut, 240 g,50.0,240.0,72.0,36.0
Soybean milk," 250 ml
",50.0,250.0,75.0,37.5
Egg," 60 g
",30.0,60.0,18.0,5.4
Steamed coarse grain bread, 60 g,40.0,60.0,18.0,7.2
Dumpling stuffed with minced pork and eggplant,  80 g,15.0,80.0,24.0,3.6
Garlic sprout," 50 g
",50.0,50.0,15.0,7.5
Needle mushroom," 30 g
",12.5,30.0,9.0,1.125
Beef," 220 g
",50.0,220.0,66.0,33.0
Coarse grain, 50 g,40.0,50.0,15.0,6.0
Milk," 250 ml
",50.0,250.0,75.0,37.5
Scallion pancake," 60 g
",50.0,60.0,18.0,9.0
Egg, 60 g,30.0,60.0,18.0,5.4
Noodles," 50 g
",50.0,50.0,15.0,7.5
Cabbage," 70 g
",50.0,70.0,21.0,10.5
Dried bean curd," 40 g
",50.0,40.0,12.0,6.0
Pickle," 30 g
",50.0,30.0,9.0,4.5
Green soy bean, 20 g,50.0,20.0,6.0,3.0
Coarse grain," 60 g
",40.0,60.0,18.0,7.2
Broad bean," 20 g
",50.0,20.0,6.0,3.0
Beef," 200 g
",50.0,200.0,60.0,30.0
Sea weed," 40 g
",50.0,40.0,12.0,6.0
Cabbage," 50 g
",50.0,50.0,15.0,7.5
Dried bean curd, 20 g,50.0,20.0,6.0,3.0
Soybean milk," 250 ml
",50.0,250.0,75.0,37.5
Egg," 60 g
",30.0,60.0,18.0,5.4
Steamed coarse grain bread, 60 g,40.0,60.0,18.0,7.2
Coarse grain," 60 g
",40.0,60.0,18.0,7.2
Kelp," 20 g
",50.0,20.0,6.0,3.0
Broad bean," 10 g
",50.0,10.0,3.0,1.5
Pumpkin," 40 g
",50.0,40.0,12.0,6.0
Bean," 20 g
",50.0,20.0,6.0,3.0
Cabbage, 80 g,50.0,80.0,24.0,12.0
Coarse grain," 60 g
",40.0,60.0,18.0,7.2
Cowpea," 30 g
",50.0,30.0,9.0,4.5
Pumpkin," 40 g
",50.0,40.0,12.0,6.0
Beef," 220 g
",50.0,220.0,66.0,33.0
Dried bamboo shoot and pork, 100 g,0.0,100.0,30.0,0.0
Scallion pancake," 60 g
",50.0,60.0,18.0,9.0
Milllet porridge," 140 g
",50.0,140.0,42.0,21.0
Salted egg, 60 g,30.0,60.0,18.0,5.4
Rice," 60 g
",50.0,60.0,18.0,9.0
Fried shrimp with pepper," 250 g
",50.0,250.0,75.0,37.5
Sweet potato leaves, 30 g,50.0,30.0,9.0,4.5
Rice," 60 g
",50.0,60.0,18.0,9.0
Sweet potato leaves," 30 g
",50.0,30.0,9.0,4.5
Shrimp, 250 g,50.0,250.0,75.0,37.5
Steamed coarse grain bread," 60 g
",40.0,60.0,18.0,7.2
Boiled egg," 60 g
",30.0,60.0,18.0,5.4
Tofu pudding, 50 g,50.0,50.0,15.0,7.5
Shredded radish and pork sauce," 60 g
",0.0,60.0,18.0,0.0
Sweet potato," 60 g
",50.0,60.0,18.0,9.0
Dumpling, 230 g,50.0,230.0,69.0,34.5
Coarse grain," 70 g
",40.0,70.0,21.0,8.4
Cold needle mushroom," 40 g
",12.5,40.0,12.0,1.5
Green soy bean," 30 g
",50.0,30.0,9.0,4.5
Braised pork with dried bamboo shoot,"  90 g
",0.0,90.0,27.0,0.0
Beef," 20 g
",50.0,20.0,6.0,3.0
Chinese cabbage, 50 g,15.0,50.0,15.0,2.25
Soybean milk," 250 ml
",50.0,250.0,75.0,37.5
Boiled egg," 60 g
",30.0,60.0,18.0,5.4
Steamed coarse grain bread, 60 g,40.0,60.0,18.0,7.2
Coarse grain," 60 g
",40.0,60.0,18.0,7.2
Spinach and egg soup," 300 g
",30.0,300.0,90.0,27.0
Towel gourd and green soy bean," 100 g
",50.0,100.0,30.0,15.0
Needle mushroom," 40 g
",12.5,40.0,12.0,1.5
Dried bamboo shoot," 30 g
",50.0,30.0,9.0,4.5
Beef, 210 g,50.0,210.0,63.0,31.5
Coarse grain," 60 g
",40.0,60.0,18.0,7.2
Needle mushroom," 30 g
",12.5,30.0,9.0,1.125
Steamed gluten," 30 g
",50.0,30.0,9.0,4.5
Fungus," 30 g
",50.0,30.0,9.0,4.5
"Green pepper, water bamboo and shredded pork", 280 g,0.0,280.0,84.0,0.0
 Milk," 250 ml
",50.0,250.0,75.0,37.5
Boiled egg," 60 g
",30.0,60.0,18.0,5.4
Steamed coarse grain bread, 60 g,40.0,60.0,18.0,7.2
Coarse grain," 60 g
",40.0,60.0,18.0,7.2
Needle mushroom," 30 g
",12.5,30.0,9.0,1.125
Steamed gluten," 20 g
",50.0,20.0,6.0,3.0
Fungus," 30 g
",50.0,30.0,9.0,4.5
Dried bamboo shoot," 40 g
",50.0,40.0,12.0,6.0
Fish soup, 300 g,50.0,300.0,90.0,45.0
Cucumber, 100 g,50.0,100.0,30.0,15.0
Coarse grain," 60 g
",40.0,60.0,18.0,7.2
Steamed gluten," 20 g
",50.0,20.0,6.0,3.0
Fungus," 20 g
",50.0,20.0,6.0,3.0
Onion," 20 g
",50.0,20.0,6.0,3.0
Carrot and pepper, 300 g,40.0,300.0,90.0,36.0
 Milk," 250 ml
",50.0,250.0,75.0,37.5
Boiled egg," 60 g
",30.0,60.0,18.0,5.4
Steamed coarse grain bread, 60 g,40.0,60.0,18.0,7.2
Coarse grain," 60 g
",40.0,60.0,18.0,7.2
Shrimp," 40 g
",50.0,40.0,12.0,6.0
Onion," 20 g
",50.0,20.0,6.0,3.0
Dried bamboo shoot and water bamboo," 80 g
",50.0,80.0,24.0,12.0
Tomato and egg soup, 200 g,30.0,200.0,60.0,18.0
Coarse grain," 50 g
",40.0,50.0,15.0,6.0
Cowpea," 30 g
",50.0,30.0,9.0,4.5
Cabbage," 60 g
",50.0,60.0,18.0,9.0
Pork," 150 g
",0.0,150.0,45.0,0.0
Vermicelli," 30 g
",50.0,30.0,9.0,4.5
Bitter gourd, 260 g,50.0,260.0,78.0,39.0
Steamed coarse grain bread," 60 g
",40.0,60.0,18.0,7.2
Boiled egg, 250 g,30.0,250.0,75.0,22.5
Coarse grain," 60 g
",40.0,60.0,18.0,7.2
Bitter gourd," 30 g
",50.0,30.0,9.0,4.5
Cowpea," 30 g
",50.0,30.0,9.0,4.5
Cabbage," 70 g
",50.0,70.0,21.0,10.5
Vermicelli and pork, 250 g,0.0,250.0,75.0,0.0
Cake, 30 g,50.0,30.0,9.0,4.5
Coarse grain," 50 g
",40.0,50.0,15.0,6.0
Bitter gourd," 30 g
",50.0,30.0,9.0,4.5
Cabbage and vermicelli," 80 g
",50.0,80.0,24.0,12.0
Pepper and kidney bean," 70 g
",50.0,70.0,21.0,10.5
Chicken nugget, 250 g,50.0,250.0,75.0,37.5
Milk," 250 g
",50.0,250.0,75.0,37.5
Boiled egg," 60 g
",30.0,60.0,18.0,5.4
Steamed coarse grain bread, 60 g,40.0,60.0,18.0,7.2
Wax apple, 115 g,50.0,115.0,34.5,17.25
Shepherd's purse and meat stuffed dumplings, 210 g,50.0,210.0,63.0,31.5
Yogurt, 100 g,50.0,100.0,30.0,15.0
Green vegetable," 100 g
",50.0,100.0,30.0,15.0
Snow pea," 80 g
",50.0,80.0,24.0,12.0
Pork rib," 35 g
",0.0,35.0,10.5,0.0
Coarse grain, 50 g,40.0,50.0,15.0,6.0
Egg," 50 g
",30.0,50.0,15.0,4.5
Rice cake," 35 g
",50.0,35.0,10.5,5.25
Peanut," 26 g
",50.0,26.0,7.8,3.9
Millet porridge, 150 mL,50.0,150.0,45.0,22.5
Wax apple, 110 g,50.0,110.0,33.0,16.5
Vegetable ball, 221 g,50.0,221.0,66.3,33.15
Yogurt, 100 g,50.0,100.0,30.0,15.0
Coarse grain," 50 g
",40.0,50.0,15.0,6.0
Shredded radish and coriander," 100 g
",50.0,100.0,30.0,15.0
Bean sprouts," 100 g
",50.0,100.0,30.0,15.0
"Celery, carrot, bamboo shoots and red sausage", 100 g,40.0,100.0,30.0,12.0
Soybean milk," 250 ml
",50.0,250.0,75.0,37.5
Egg," 50 g
",30.0,50.0,15.0,4.5
Peanuts with vinegar," 40 g
",50.0,40.0,12.0,6.0
Black rice cake, 80 g,50.0,80.0,24.0,12.0
Fruit, 110 g,50.0,110.0,33.0,16.5
Vegetable ball," 120 g
",50.0,120.0,36.0,18.0
Pork rib," 37 g
",0.0,37.0,11.1,0.0
Bean sprouts, 86 g,50.0,86.0,25.8,12.9
Yogurt," 100 g
",50.0,100.0,30.0,15.0
Sweet potato, 85 g,50.0,85.0,25.5,12.75
Fried hairtail," 50 g
",50.0,50.0,15.0,7.5
Vegetable," 80 g
",50.0,80.0,24.0,12.0
Coarse grain," 50 g
",40.0,50.0,15.0,6.0
Tomato and egg soup, 100ml,30.0,100.0,30.0,9.0
Black rice cake," 57 g
",50.0,57.0,17.099999999999998,8.549999999999999
Egg," 56 g
",30.0,56.0,16.8,5.04
Peanuts with vinegar," 25 g
",50.0,25.0,7.5,3.75
Milk, 250 ml,50.0,250.0,75.0,37.5
Vegetable ball," 126 g
",50.0,126.0,37.8,18.9
"Onion, pepper and carrot"," 100 g
",40.0,100.0,30.0,12.0
Pork rib," 27 g
",0.0,27.0,8.1,0.0
Celery and carrot, 50 g,40.0,50.0,15.0,6.0
Yogurt," 100 g
",50.0,100.0,30.0,15.0
Sweet potato, 100 g,50.0,100.0,30.0,15.0
Coarse grain," 70 g
",40.0,70.0,21.0,8.4
Cabbage and vermicelli," 100 g
",50.0,100.0,30.0,15.0
"Green pepper, onion and carrot"," 100 g
",40.0,100.0,30.0,12.0
Salted duck, 50 g,50.0,50.0,15.0,7.5
Egg," 57 g
",30.0,57.0,17.099999999999998,5.129999999999999
Steamed bread stuffed with Shepherd's purse and meat," 113 g
",50.0,113.0,33.9,16.95
Peanuts with vinegar," 31 g
",50.0,31.0,9.299999999999999,4.6499999999999995
Soybean milk, 250 ml,50.0,250.0,75.0,37.5
Coarse grain steamed bread," 53 g
",40.0,53.0,15.899999999999999,6.36
Vegetable," 100 g
",50.0,100.0,30.0,15.0
Coriander and shredded radish," 100 g
",50.0,100.0,30.0,15.0
Boiled duck, 43 g,50.0,43.0,12.9,6.45
Yogurt," 100 g
",50.0,100.0,30.0,15.0
Sweet potato, 100 g,50.0,100.0,30.0,15.0
Coarse grain," 52 g
",40.0,52.0,15.6,6.24
Coriander and radish shreds," 100 g
",50.0,100.0,30.0,15.0
"Green pepper, tofu skin knot and red sausage"," 87 g
",50.0,87.0,26.099999999999998,13.05
Pork stuffed tofu skin, 40 g,0.0,40.0,12.0,0.0
Coarse grain," 55 g
",40.0,55.0,16.5,6.6
Egg," 60 g
",30.0,60.0,18.0,5.4
Peanuts with vinegar," 40 g
",50.0,40.0,12.0,6.0
Millet porridge, 130 g,50.0,130.0,39.0,19.5
Cucumber," 50 g
",50.0,50.0,15.0,7.5
Fried leek," 100 g
",50.0,100.0,30.0,15.0
Boiled shrimp," 62 g
",50.0,62.0,18.599999999999998,9.299999999999999
Rice, 100 g,50.0,100.0,30.0,15.0
Rice," 100 g
",50.0,100.0,30.0,15.0
Spinach," 100 g
",50.0,100.0,30.0,15.0
Fried egg with leek," 100 g
",30.0,100.0,30.0,9.0
Braised mutton, 50 g,50.0,50.0,15.0,7.5
Coarse grain steamed bread," 66 g
",40.0,66.0,19.8,7.92
Egg," 40 g
",30.0,40.0,12.0,3.6
Peanuts with vinegar," 30 g
",50.0,30.0,9.0,4.5
Buckwheat dough, 250 g,50.0,250.0,75.0,37.5
Spinach," 100 g
",50.0,100.0,30.0,15.0
Needle mushroom salad," 100 g
",12.5,100.0,30.0,3.75
Rice, 100 g,50.0,100.0,30.0,15.0
Yogurt," 100 g
",50.0,100.0,30.0,15.0
Nut biscuit, 30 g,50.0,30.0,9.0,4.5
fungus with vegetable," 100 g
",50.0,100.0,30.0,15.0
Steamed bean curd roll," 90 g
",50.0,90.0,27.0,13.5
Shredded radish with coriander," 100 g
",50.0,100.0,30.0,15.0
Coarse grain," 50 g
",40.0,50.0,15.0,6.0
Salted shrimp, 42 g,50.0,42.0,12.6,6.3
Coarse grain steamed bread," 55 g
",40.0,55.0,16.5,6.6
Egg," 57 g
",30.0,57.0,17.099999999999998,5.129999999999999
Peanuts with vinegar," 50 g
",50.0,50.0,15.0,7.5
Soybean milk, 250 g,50.0,250.0,75.0,37.5
Kiwi fruit, 80 g,50.0,80.0,24.0,12.0
Cucumber salad," 50 g
",50.0,50.0,15.0,7.5
Steamed bean curd roll," 52 g
",50.0,52.0,15.6,7.8
Fungus with vegetable," 100 g
",50.0,100.0,30.0,15.0
Vegetable ball, 220 g,50.0,220.0,66.0,33.0
Yogurt," 100 g
",50.0,100.0,30.0,15.0
Sweet potato, 67 g,50.0,67.0,20.099999999999998,10.049999999999999
Coarse grain," 96 g
",40.0,96.0,28.799999999999997,11.52
"Celery, dried bean, carrot, and shredded pork"," 140 g
",20.0,140.0,42.0,8.4
Sweet and sour lotus root, 100 g,50.0,100.0,30.0,15.0
Coarse grain steamed bread," 55 g
",40.0,55.0,16.5,6.6
Egg," 56 g
",30.0,56.0,16.8,5.04
Millet porridge," 100 g
",50.0,100.0,30.0,15.0
Peanuts with vinegar, 40 g,50.0,40.0,12.0,6.0
Kiwi fruit, 107 g,50.0,107.0,32.1,16.05
"Celery, dried bean and carrot"," 100 g
",40.0,100.0,30.0,12.0
"Sweet and sour lotus root, shredded radish"," 100 g
",50.0,100.0,30.0,15.0
Mutton and vegetable," 150 g
",50.0,150.0,45.0,22.5
Vegetable ball, 100 g,50.0,100.0,30.0,15.0
Yogurt," 100 g
",50.0,100.0,30.0,15.0
Sweet potato, 70 g,50.0,70.0,21.0,10.5
Vegetable," 100 g
",50.0,100.0,30.0,15.0
Shredded radish," 50 g
",50.0,50.0,15.0,7.5
"Broccoli, dried bean curd and shredded carrot"," 100 g
",40.0,100.0,30.0,12.0
Coarse grain, 70 g,40.0,70.0,21.0,8.4
Black rice cake," 60 g
",50.0,60.0,18.0,9.0
Egg," 60 g
",30.0,60.0,18.0,5.4
Peanuts with vinegar," 40 g
",50.0,40.0,12.0,6.0
Soybean milk, 250 ml,50.0,250.0,75.0,37.5
Stir fried vegetable," 130 g
",50.0,130.0,39.0,19.5
"Broccoli, dried bean, carrot and shredded pork"," 100 g
",20.0,100.0,30.0,6.0
Vegetable ball, 150 g,50.0,150.0,45.0,22.5
Yogurt," 100 g
",50.0,100.0,30.0,15.0
Sweet potato, 100 g,50.0,100.0,30.0,15.0
Hairtail," 55 g
",50.0,55.0,16.5,8.25
Vegetable," 100 g
",50.0,100.0,30.0,15.0
"Cabbage, carrot, and vermicelli"," 50 g
",40.0,50.0,15.0,6.0
Coarse grain, 60 g,40.0,60.0,18.0,7.2
Egg," 58 g
",30.0,58.0,17.4,5.22
Black rice cake," 94 g
",50.0,94.0,28.2,14.1
Peanuts with vinegar," 40 g
",50.0,40.0,12.0,6.0
Millet porridge, 120 g,50.0,120.0,36.0,18.0
Coarse grain," 50 g
",40.0,50.0,15.0,6.0
Shredded radish," 50 g
",50.0,50.0,15.0,7.5
Fried vegetable," 100 g
",50.0,100.0,30.0,15.0
Cabbage and vermicelli, 100 g,50.0,100.0,30.0,15.0
Yogurt," 100 g
",50.0,100.0,30.0,15.0
Sweet potato, 70 g,50.0,70.0,21.0,10.5
Coarse grain," 50 g
",40.0,50.0,15.0,6.0
Shredded radish and coriander," 50 g
",50.0,50.0,15.0,7.5
"Celery, shredded carrot and bamboo shoots"," 100 g
",40.0,100.0,30.0,12.0
Potato and beef, 60 g,50.0,60.0,18.0,9.0
Coarse grain steamed bread," 56 g
",40.0,56.0,16.8,6.72
Egg," 48 g
",30.0,48.0,14.399999999999999,4.319999999999999
Peanuts with vinegar," 40 g
",50.0,40.0,12.0,6.0
Soybean milk, 250 ml,50.0,250.0,75.0,37.5
Fungus with vegetable," 100 g
",50.0,100.0,30.0,15.0
"Onion, pepper and beef"," 100 g
",50.0,100.0,30.0,15.0
"Shredded radish, dried bean curd and shredded pork"," 100 g
",0.0,100.0,30.0,0.0
Coarse grain, 60 g,40.0,60.0,18.0,7.2
Yogurt, 100 g,50.0,100.0,30.0,15.0
Fried shrimp," 50 g
",50.0,50.0,15.0,7.5
Pork stuffed tofu skin," 72 g
",0.0,72.0,21.599999999999998,0.0
Fungus and vegetable," 70 g
",50.0,70.0,21.0,10.5
Coarse grain, 60 g,40.0,60.0,18.0,7.2
Egg," 55 g
",30.0,55.0,16.5,4.95
Coarse grain steamed bread," 57 g
",40.0,57.0,17.099999999999998,6.839999999999999
Peanuts with vinegar," 40 g
",50.0,40.0,12.0,6.0
Buckwheat noodles, 250 g,50.0,250.0,75.0,37.5
Rice," 100 g
",50.0,100.0,30.0,15.0
Fried vegetable," 100 g
",50.0,100.0,30.0,15.0
Tofu, 100 g,50.0,100.0,30.0,15.0
Stir fried vegetable," 100 g
",50.0,100.0,30.0,15.0
Mutton," 50 g
",50.0,50.0,15.0,7.5
Tofu," 50 g
",50.0,50.0,15.0,7.5
Rice, 70 g,50.0,70.0,21.0,10.5
Coarse grain steamed bread," 70 g
",40.0,70.0,21.0,8.4
Egg," 52 g
",30.0,52.0,15.6,4.68
Peanuts with vinegar," 40 g
",50.0,40.0,12.0,6.0
Buckwheat noodles, 250 ml,50.0,250.0,75.0,37.5
Dumpling stuffed with Shepherd's purse and pork, 270 g,0.0,270.0,81.0,0.0
Egg," 50 g
",30.0,50.0,15.0,4.5
Coarse grain steamed bread," 60 g
",40.0,60.0,18.0,7.2
Peanuts with vinegar," 40 g
",50.0,40.0,12.0,6.0
Soybean milk, 250 ml,50.0,250.0,75.0,37.5
Wax gourd," 100 g
",50.0,100.0,30.0,15.0
Kelp," 150 g
",50.0,150.0,45.0,22.5
Egg soup, 100 g,30.0,100.0,30.0,9.0
Cucumber, 100 g,50.0,100.0,30.0,15.0
"Wonton stuffed with Shepherd's purse, mushroom and pork"," 150 g
",28.33333333333333,150.0,45.0,12.749999999999998
Banana," 100 g
",50.0,100.0,30.0,15.0
Nut," 30 g
",50.0,30.0,9.0,4.5
Yogurt, 200 g,50.0,200.0,60.0,30.0
Soybean," 20 g
",50.0,20.0,6.0,3.0
Chickpea," 20 g
",50.0,20.0,6.0,3.0
Peanuts," 20 g
",50.0,20.0,6.0,3.0
Walnuts," 20 g
",50.0,20.0,6.0,3.0
Coix seed," 20 g
",50.0,20.0,6.0,3.0
Soybean milk," 400 g
",50.0,400.0,120.0,60.0
Egg," 55 g
",30.0,55.0,16.5,4.95
Lettuce," 50 g
",50.0,50.0,15.0,7.5
Bacon and asparagus, 50 g,50.0,50.0,15.0,7.5
Tomato, 250 g,50.0,250.0,75.0,37.5
Rice," 50 g
",50.0,50.0,15.0,7.5
Bean sprouts," 100 g
",50.0,100.0,30.0,15.0
Steamed bean curd roll," 100 g
",50.0,100.0,30.0,15.0
Celery, 100 g,50.0,100.0,30.0,15.0
Tomato, 100 g,50.0,100.0,30.0,15.0
Apple, 50 g,50.0,50.0,15.0,7.5
Asparagus," 50 g
",50.0,50.0,15.0,7.5
Broccoli," 50 g
",50.0,50.0,15.0,7.5
Quail egg," 50 g
",30.0,50.0,15.0,4.5
Shrimp," 50 g
",50.0,50.0,15.0,7.5
Banana," 50 g
",50.0,50.0,15.0,7.5
Millet mung bean porridge, 400 g,50.0,400.0,120.0,60.0
Whole wheat bread," 15 g
",50.0,15.0,4.5,2.25
Beef and ham," 15 g
",50.0,15.0,4.5,2.25
"Spinach, king oyster mushroom, pine nut"," 50 g
",12.5,50.0,15.0,1.875
Broccoli," 50 g
",50.0,50.0,15.0,7.5
Shrimp," 50 g
",50.0,50.0,15.0,7.5
Milk and egg, 300 g,30.0,300.0,90.0,27.0
Tomato, 200 g,50.0,200.0,60.0,30.0
Pea seedling," 100 g
",50.0,100.0,30.0,15.0
Cooked pea, 150 g,50.0,150.0,45.0,22.5
Steamed bun stuffed with carrot," 100 g
",40.0,100.0,30.0,12.0
Boiled egg in tea," 50 g
",30.0,50.0,15.0,4.5
Milk, 250 ml,50.0,250.0,75.0,37.5
